NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
8251,경상남도 창원시 성산구 반림동,18,18,0,트리비앙,84.95,202607,10,"64,400",-,14,개인,개인,2006,원이대로 495,-,중개거래,경남 창원시 성산구,-
8252,경기도 광주시 송정동,662,662,0,광주행정타운아이파크,99.5304,202607,10,"80,000",-,14,개인,개인,2024,송정2길 37,-,중개거래,경기 광주시,-
8253,경상남도 창원시 성산구 반림동,18,18,0,트리비앙,84.99,202607,10,"66,900",-,17,개인,개인,2006,원이대로 495,-,중개거래,경남 창원시 성산구,-
8254,경상남도 거제시 양정동,279,279,0,거제아이파크,84.9707,202607,10,"15,250",-,9,개인,개인,2017,양정5길 36,-,직거래,-,-
8255,경기도 군포시 금정동,744-1,744,1,신환,54.27,202607,10,"27,500",-,11,개인,개인,1990,번영로 580,-,중개거래,경기 군포시,-
8256,경기도 군포시 금정동,876,876,0,율곡,59.97,202607,10,"50,000",-,2,개인,개인,1994,오금로 43,-,중개거래,경기 군포시,-
8257,경기도 군포시 금정동,849,849,0,주공(1단지),66.6,202607,10,"53,000",-,12,개인,개인,1992,산본로 296,-,중개거래,경기 군포시,-
8258,경기도 군포시 금정동,872,872,0,충무주공(872),42.75,202607,10,"34,000",-,13,개인,개인,1993,산본로 299,-,중개거래,"경기 군포시, 경기 성남시 분당구",-
8259,경기도 군포시 금정동,875,875,0,퇴계주공(360~368동),39.87,202607,10,"24,000",-,20,개인,개인,1995,광정로 25-20,-,중개거래,경기 군포시,-
8260,충청남도 공주시 유구읍 석남리,307-2,307,2,근화,52.17,202607,10,"4,500",B,5,개인,개인,1991,중앙2길 80-35,-,직거래,-,26.07.10
8261,경기도 화성시 병점구 병점동,817,817,0,병점역센트럴허브시티,84.944,202607,10,"38,000",-,1,개인,개인,2004,병점1로 65,-,중개거래,경기 화성시 병점구,-
8262,경기도 화성시 병점구 병점동,809,809,0,주공1단지,39.99,202607,10,"20,500",-,6,개인,개인,1997,병점2로 35,-,중개거래,경기 화성시 병점구,-
8263,경기도 고양시 일산동구 식사동,1474,1474,0,SKVIEW,84.3198,202607,10,"41,000",-,15,개인,개인,2003,은행마을로 100,-,중개거래,경기 고양시 일산동구,-
8264,경상남도 창원시 성산구 상남동,Jan-44,44,1,대동,84.942,202607,10,"45,500",-,19,개인,개인,1995,동산로 115,-,중개거래,경남 창원시 성산구,-
8265,경기도 용인시 수지구 상현동,1113,1113,0,광교더힐,120.84,202607,10,"145,000",-,12,개인,개인,2014,광교마을로 11,-,중개거래,경기 용인시 수지구,-
8266,경상북도 안동시 옥동,739-1,739,1,옥동4주공,59.83,202607,10,"19,000",404,8,개인,개인,2002,복주길 65,-,중개거래,경북 안동시,26.07.13
8267,경기도 오산시 양산동,668-1,668,1,오산세마e편한세상,84.981,202607,10,"44,500",-,7,개인,개인,2010,양산로 460,-,중개거래,경기 오산시,-
